prefix_len,prefix,count,sample_normalized
3,971,1771172,971501055655
3,201,526111,201610
3,966,186890,966544290290
3,202,162375,2029179812
3,861,147031,8613022263377
3,050,110966,0504620050
3,923,93384,923219498286
3,862,93017,862586611494
3,865,80367,865921666922
3,447,78074,447876433464
3,234,77532,2348037155010
3,919,61111,919119112112
3,867,53637,867712809925
3,965,44501,96566073106
3,506,38297,506253107
3,055,34915,0556836682
3,100,31263,1006072680
3,043,31000,043410517
3,974,28795,97433120089
3,504,20997,504458698
3,200,19833,20022003
3,962,19133,962798206206
3,505,18807,505919683
3,968,17781,96891405750
3,863,17462,8637051
3,056,16628,0561631431
3,852,15970,85263043279
3,042,15625,042820007
3,440,14417,4407798690454
3,191,13352,19192558279
3,507,12655,507141650
3,508,11941,508849550
3,886,11798,886953186836
3,864,11636,8641916482389
3,336,11425,33621895134
3,918,11153,9185405754
3,868,10889,868382274206
3,973,10871,9732181263
3,989,10728,989121725137
3,503,10690,50344499
3,441,10675,441274732675
3,502,10250,502788129
3,442,10246,442087494433
3,518,9943,5184371
3,555,9570,55578053
3,052,9535,0526096888
3,491,9131,491726235076
3,501,8906,501953514
3,659,8833,6598459159
3,676,8566,6763897
3,439,8445,43911111
3,509,7887,509450973
3,964,7884,9647504450243
3,044,7858,044251111
3,917,7668,917399700027
3,510,7589,5109968432
3,961,7374,9613231190
3,922,7327,922000771
3,164,7317,16478898440
3,619,7075,6199001
3,551,6995,5513991230710
3,300,6712,30061990
3,030,6602,03000281373
3,559,6369,5595991177030
3,436,6346,43682737
3,556,6310,556453178
3,393,5981,393336652491
3,770,5909,770544368
3,558,5745,55800037
3,213,5653,213790274297
3,552,5616,55205214
3,905,5567,905308346059
3,310,5543,310306
3,791,5327,79174343524
3,139,5208,1393902
3,141,5123,14168271966
3,920,5113,9203444444381
3,972,5102,97263743
3,528,5033,528004270
3,380,5004,380674832163
3,529,4946,529039708
3,566,4834,566959099
3,554,4713,55476813
3,316,4665,3168677177
3,982,4638,98218433
3,212,4594,212604818754
3,278,4588,27844425363
3,553,4585,55388171
3,244,4578,244923610936
3,866,4528,866105931221
3,417,4515,41795772495
3,210,4502,2101005
3,557,4477,55703147
3,561,4464,5619882050
3,249,4454,249118224666
3,656,4372,6569870197
3,254,4315,254720675575
3,135,4275,13513138
3,117,4219,11739455
3,792,4162,79218698009
3,151,4154,1510218
3,467,4114,46702674958
3,614,4102,61423276668
3,048,4090,048873890
3,221,4053,2212111
3,924,4043,92425752522
3,179,4029,1797231
3,186,3995,18608171574
3,361,3957,361977604
3,169,3938,16903998
3,225,3909,22507936061
3,880,3895,8801771727871
3,790,3853,79029902875
3,333,3838,33383581
3,120,3814,120312
3,353,3722,353504
3,315,3702,315010
3,266,3680,26667281
3,628,3571,6285334653493
3,610,3488,610455044144
3,869,3464,869414
3,097,3455,0971506413546
3,564,3445,564126010
3,110,3371,110400
3,222,3333,2222209
3,137,3322,13705782
3,138,3284,13802785171
3,777,3280,77777170
3,178,3275,17855149
3,344,3271,344224104
3,321,3234,321785504
3,324,3233,32465437741
3,658,3192,6584585629
3,330,3158,3300100
3,251,3150,251911217388
3,130,3125,1308888
3,123,3117,123456789
3,337,3099,33761051555
3,567,3067,567287801
3,103,3055,103304687
3,422,3015,42261000
3,299,2949,299555504
3,121,2889,12158505280
3,131,2877,13124988888
3,430,2870,43043100
3,255,2829,25588519
3,998,2793,99879702
3,140,2776,14082638455
3,445,2754,44509134
3,526,2750,526914666
3,150,2707,15010311116
3,136,2684,1363602
3,562,2680,562972935
3,065,2671,065681896
3,111,2612,11151115
3,233,2596,233209592257
3,350,2591,350888000
3,122,2568,1227250
3,260,2554,260894
3,650,2532,65099998
3,264,2507,2644478895
3,215,2504,2151507
3,277,2502,27729850462
